class,subClassOf,rdf_label,definition
Carpark_System,brick:System,Carpark System,
Carpark_Equipment,brick:Equipment,Carpark Equipment,
Boom_Gate,ext:Carpark_Equipment,Boom Gate,
Traffic_Light_Control_Panel,ext:Carpark_Equipment,Traffic Light Control Panel,
Strobe_Light,ext:Carpark_Equipment,Strobe Light,
Traffic_Light,ext:Carpark_Equipment,Traffic Light,
Laser_Scanner,brick:Sensor,Laser Scanner,
Photoelectric_Sensor,brick:Sensor,Photoelectric Sensor,
Vehicle_Counter,ext:Photoelectric_Sensor,Vehicle Counter,
Programmable_Logic_Controller,brick:Equipment,Programmable Logic Controller,
Open_Command,brick:Command,Open Command,
Close_Command,brick:Command,Close Command,
Open_Status,brick:Status,Open Status,
Close_Status,brick:Status,Close Status,
General_Error_Status,ext:Boom_Gate_Status,General Error Status,
Impact_Detection_Status,ext:Boom_Gate_Status,Impact Detection Status,
Mains_Power_Status,ext:Boom_Gate_Status,Mains Power Status,
Vandilism_Status,ext:Boom_Gate_Status,Vandilism Status,
